"bin","bin_center","prob_assigned","percent_resolved_pos","num_markets","num_questions"
1,0.025,0.025,0.00330412877057147,2406264784.93366,332
2,0.075,0.075,0.0510100922685627,1310132870.85775,373
3,0.125,0.125,0.0868570067429383,952682861.689023,397
4,0.175,0.175,0.0813759371065986,975664006.571987,434
5,0.225,0.225,0.154008167834246,754855583.260042,433
6,0.275,0.275,0.163855697606467,839354983.789219,435
7,0.325,0.325,0.185741811047942,747213581.339962,439
8,0.375,0.375,0.290850973015665,620151315.628172,437
9,0.425,0.425,0.345797130587291,629944850.300519,395
10,0.475,0.475,0.344502407442362,724082818.085163,408
11,0.525,0.525,0.489329313672832,514951386.870989,369
12,0.575,0.575,0.540784549683516,594166749.322537,375
13,0.625,0.625,0.617595351269386,513710927.386017,327
14,0.675,0.675,0.604507924162122,520745214.973525,340
15,0.725,0.725,0.769911752764395,495024312.071854,283
16,0.775,0.775,0.919144036550178,423079067.349274,253
17,0.825,0.825,0.850036624685941,311598760.308969,203
18,0.875,0.875,0.966246130119398,356465451.759506,183
19,0.925,0.925,0.932696612083535,321898330.554992,141
20,0.975,0.975,0.968110937478763,249954275.399564,110
