"bin","bin_center","prob_assigned","percent_resolved_pos","num_markets","num_questions"
1,0.025,0.025,0.00403510827067145,11091205433.0484,1322
2,0.075,0.075,0.0327032216119083,4636211185.63987,1509
3,0.125,0.125,0.0597557715071756,3214270720.59856,1699
4,0.175,0.175,0.0651168393313723,3307445572.85633,1880
5,0.225,0.225,0.105495754835618,2504071287.39594,1834
6,0.275,0.275,0.103534623846533,2360397176.04974,1906
7,0.325,0.325,0.141495257287237,1983155103.45272,1885
8,0.375,0.375,0.195643545761727,1865284984.99713,1897
9,0.425,0.425,0.265772266996341,1735442797.58606,1615
10,0.475,0.475,0.277566897400261,2167082677.9013,1770
11,0.525,0.525,0.406089563990944,1577491032.02048,1605
12,0.575,0.575,0.485352017471399,2042699650.45508,1727
13,0.625,0.625,0.576416916466714,1738866572.74272,1564
14,0.675,0.675,0.624490888879841,1798002566.08236,1547
15,0.725,0.725,0.688826507836326,1658503284.94467,1308
16,0.775,0.775,0.74874504909769,1193391229.18,1061
17,0.825,0.825,0.805661880966023,929822838.732923,881
18,0.875,0.875,0.882728532680217,1097247182.36502,682
19,0.925,0.925,0.94315269647969,916359428.591809,517
20,0.975,0.975,0.978477222749748,844997653.632018,357
