"bin","bin_center","prob_assigned","percent_resolved_pos","num_markets","num_questions"
1,0.025,0.025,0.0366202370540613,119600624.457831,94
2,0.075,0.075,0.296142668636061,53749801.2845173,131
3,0.125,0.125,0.215616140930933,34662476.9808228,171
4,0.175,0.175,0.386293439795655,54274788.1114926,225
5,0.225,0.225,0.213005164476364,51059802.3721135,235
6,0.275,0.275,0.231364397609676,24239478.7708647,256
7,0.325,0.325,0.344304693987487,30203999.4359121,251
8,0.375,0.375,0.67286447737908,32888632.2680399,248
9,0.425,0.425,0.270419989210125,18072379.661242,216
10,0.475,0.475,0.461326655858429,20299506.7298644,305
11,0.525,0.525,0.65577010969168,18497866.2168827,236
12,0.575,0.575,0.653764014636882,48703650.9612365,235
13,0.625,0.625,0.635119069860458,30269588.2822871,186
14,0.675,0.675,0.687067656517051,41279095.9034405,170
15,0.725,0.725,0.464797830106232,55318457.9705043,145
16,0.775,0.775,0.503216117949296,43311937.3391232,104
17,0.825,0.825,0.446014131845101,28387285.6778464,97
18,0.875,0.875,0.519822180321931,23675759.8430748,75
19,0.925,0.925,0.667231082906972,4769755.54146075,42
20,0.975,0.975,0.999835876367128,26365024.4460859,18
