CATS (LAS),Oddschecker
0.48,0.45
0.36,0.33
0.36,0.28
0.66,0.72
0.4,0.33
0.34,0.25
0.54,0.63
0.34,0.27
0.56,0.58
0.5,0.51
0.58,0.63
0.64,0.68
0.4,0.3
0.51,0.49
0.46,0.44
0.38,0.28
0.65,0.66
0.6,0.63
0.5,0.51
0.4,0.4
0.44,0.44
0.5,0.53
0.48,0.43
0.72,0.7
0.76,0.81
0.74,0.78
0.64,0.67
0.34,0.26
0.78,0.81
0.82,0.81
0.8,0.81
0.54,0.56
0.64,0.65
0.44,0.44
0.56,0.57
0.3,0.32
0.34,0.34
0.68,0.69
0.42,0.41
0.3,0.31
0.5,0.46
0.28,0.29
0.62,0.6
0.38,0.38
0.5,0.52
0.5,0.52
0.47,0.46
0.5,0.52
0.6,0.63
0.42,0.38
0.6,0.62
0.56,0.58
0.46,0.47
0.44,0.39
0.6,0.61
0.62,0.62
0.32,0.31
0.6,0.63
0.72,0.71
0.5,0.51
0.82,0.8
0.54,0.56
0.5,0.51
0.5,0.54
0.56,0.56
0.78,0.77
0.48,0.47
0.75,0.74
0.76,0.76
0.6,0.61
0.9,0.88
0.39,0.38
0.8,0.8
0.49,0.48
0.64,0.66
0.3,0.29
0.36,0.34
0.66,0.67
0.58,0.62
0.72,0.74
0.5,0.48
0.2,0.21
0.34,0.32
0.44,0.41
0.4,0.4
0.54,0.53
0.75,0.76
0.54,0.57
0.34,0.34
0.82,0.8
0.46,0.45
0.44,0.43
0.7,0.71
0.66,0.67
0.52,0.54
0.56,0.57
0.56,0.6
0.36,0.34
0.7,0.72
0.2,0.13
0.72,0.72
0.73,0.72
0.72,0.72
0.49,0.48
0.48,0.47
0.66,0.66
0.7,0.74
0.72,0.76
0.51,0.52
0.52,0.54
0.4,0.37
0.78,0.8
0.62,0.63
0.62,0.63
0.49,0.48
0.45,0.43
0.79,0.83
0.46,0.45
0.56,0.61
0.48,0.49
0.55,0.58
0.79,0.82
0.4,0.39
0.2,0.13
0.4,0.36
0.74,0.74
0.5,0.45
0.68,0.68
0.2,0.16
0.4,0.4
0.38,0.37
0.43,0.41
0.52,0.54
0.58,0.58
0.8,0.84
